[2025-05-19 20:57:05] INFO - Batch 4: H‐loss=0.0552
[2025-05-19 20:57:06] INFO - Batch 5: H‐loss=0.0476
[2025-05-19 20:57:06] INFO - Batch 6: H‐loss=0.0530
[2025-05-19 20:57:07] INFO - Batch 7: H‐loss=0.0382
[2025-05-19 20:57:07] INFO - Batch 8: H‐loss=0.0443
[2025-05-19 20:57:08] INFO - Batch 9: H‐loss=0.0385
[2025-05-19 20:57:08] INFO - Batch 10: H‐loss=0.0368
[2025-05-19 20:57:09] INFO - Batch 11: H‐loss=0.0442
[2025-05-19 20:57:10] INFO - Batch 12: H‐loss=0.0481
[2025-05-19 20:57:10] INFO - Batch 13: H‐loss=0.0428
[2025-05-19 20:57:11] INFO - Batch 14: H‐loss=0.0419
[2025-05-19 20:57:11] INFO - Batch 15: H‐loss=0.0422
[2025-05-19 20:57:12] INFO - Batch 16: H‐loss=0.0373
[2025-05-19 20:57:12] INFO - Batch 17: H‐loss=0.0329
[2025-05-19 20:57:13] INFO - Batch 18: H‐loss=0.0308
[2025-05-19 20:57:13] INFO - Avg H‐loss: 0.0446
[2025-05-19 20:57:13] INFO - Epoch 4/inf
[2025-05-19 20:57:14] INFO - Batch 0: H‐loss=0.0290
[2025-05-19 20:57:15] INFO - Batch 1: H‐loss=0.0425
[2025-05-19 20:57:15] INFO - Batch 2: H‐loss=0.0323
[2025-05-19 20:57:16] INFO - Batch 3: H‐loss=0.0335
[2025-05-19 20:57:16] INFO - Batch 4: H‐loss=0.0348
[2025-05-19 20:57:17] INFO - Batch 5: H‐loss=0.0304
[2025-05-19 20:57:18] INFO - Batch 6: H‐loss=0.0334
[2025-05-19 20:57:18] INFO - Batch 7: H‐loss=0.0293
[2025-05-19 20:57:19] INFO - Batch 8: H‐loss=0.0232
[2025-05-19 20:57:19] INFO - Batch 9: H‐loss=0.0320
[2025-05-19 20:57:20] INFO - Batch 10: H‐loss=0.0273
[2025-05-19 20:57:20] INFO - Batch 11: H‐loss=0.0497
[2025-05-19 20:57:21] INFO - Batch 12: H‐loss=0.0262
[2025-05-19 20:57:21] INFO - Batch 13: H‐loss=0.0263
[2025-05-19 20:57:22] INFO - Batch 14: H‐loss=0.0326
[2025-05-19 20:57:23] INFO - Batch 15: H‐loss=0.0296
[2025-05-19 20:57:23] INFO - Batch 16: H‐loss=0.0349
[2025-05-19 20:57:24] INFO - Batch 17: H‐loss=0.0252
[2025-05-19 20:57:24] INFO - Batch 18: H‐loss=0.0332
[2025-05-19 20:57:24] INFO - Avg H‐loss: 0.0319
[2025-05-19 20:57:24] INFO - Epoch 5/inf
[2025-05-19 20:57:25] INFO - Batch 0: H‐loss=0.0246
[2025-05-19 20:57:26] INFO - Batch 1: H‐loss=0.0419
[2025-05-19 20:57:26] INFO - Batch 2: H‐loss=0.0219
[2025-05-19 20:57:27] INFO - Batch 3: H‐loss=0.0233
[2025-05-19 20:57:28] INFO - Batch 4: H‐loss=0.0308
[2025-05-19 20:57:33] INFO - Epoch 1/inf
[2025-05-19 20:57:36] INFO - Batch 0: H‐loss=0.0730
[2025-05-19 20:57:36] INFO - Batch 1: H‐loss=0.0782
[2025-05-19 20:57:37] INFO - Batch 2: H‐loss=0.0638
[2025-05-19 20:57:37] INFO - Batch 3: H‐loss=0.0794
[2025-05-19 20:57:38] INFO - Batch 4: H‐loss=0.0827
[2025-05-19 20:57:39] INFO - Batch 5: H‐loss=0.0823
[2025-05-19 20:57:39] INFO - Batch 6: H‐loss=0.0642
[2025-05-19 20:57:40] INFO - Batch 7: H‐loss=0.0781
[2025-05-19 20:57:40] INFO - Batch 8: H‐loss=0.0760
[2025-05-19 20:57:41] INFO - Batch 9: H‐loss=0.0901
[2025-05-19 20:57:41] INFO - Batch 10: H‐loss=0.0769
[2025-05-19 20:57:42] INFO - Batch 11: H‐loss=0.0712
[2025-05-19 20:57:43] INFO - Batch 12: H‐loss=0.0705
[2025-05-19 20:57:43] INFO - Batch 13: H‐loss=0.0687
[2025-05-19 20:57:44] INFO - Batch 14: H‐loss=0.0652
[2025-05-19 20:57:44] INFO - Batch 15: H‐loss=0.0797
[2025-05-19 20:57:45] INFO - Batch 16: H‐loss=0.0749
[2025-05-19 20:57:45] INFO - Batch 17: H‐loss=0.0706
[2025-05-19 20:57:46] INFO - Batch 18: H‐loss=0.0961
[2025-05-19 20:57:46] INFO - Avg H‐loss: 0.0759
[2025-05-19 20:57:46] INFO - Epoch 2/inf
[2025-05-19 20:57:47] INFO - Batch 0: H‐loss=0.0625
[2025-05-19 20:57:48] INFO - Batch 1: H‐loss=0.0677
[2025-05-19 20:57:54] INFO - Epoch 1/inf
[2025-05-19 20:57:56] INFO - Batch 0: H‐loss=0.0715
[2025-05-19 20:57:57] INFO - Batch 1: H‐loss=0.0842
[2025-05-19 20:57:57] INFO - Batch 2: H‐loss=0.0842
[2025-05-19 20:57:58] INFO - Batch 3: H‐loss=0.0784
[2025-05-19 20:57:58] INFO - Batch 4: H‐loss=0.0797
[2025-05-19 20:57:59] INFO - Batch 5: H‐loss=0.0807
[2025-05-19 20:57:59] INFO - Batch 6: H‐loss=0.0914
[2025-05-19 20:58:00] INFO - Batch 7: H‐loss=0.0841
[2025-05-19 20:58:01] INFO - Batch 8: H‐loss=0.0826
[2025-05-19 20:58:01] INFO - Batch 9: H‐loss=0.0786
[2025-05-19 20:58:02] INFO - Batch 10: H‐loss=0.0712
[2025-05-19 20:58:02] INFO - Batch 11: H‐loss=0.0749
[2025-05-19 20:58:03] INFO - Batch 12: H‐loss=0.0692
[2025-05-19 20:58:03] INFO - Batch 13: H‐loss=0.0736
[2025-05-19 20:58:04] INFO - Batch 14: H‐loss=0.0698
[2025-05-19 20:58:05] INFO - Batch 15: H‐loss=0.0734
